stem,day,lvl,before,after,sat,amp_med,err
20260727_000358,20260727,163.7,4.634,0.747,1,3.421,
20260727_000642,20260727,163.7,4.902,0.622,1,3.566,
20260727_000926,20260727,164.0,4.622,0.946,1,3.646,
20260727_001211,20260727,164.3,4.301,0.753,1,3.302,
20260727_001455,20260727,163.7,5.025,0.704,1,3.728,
20260727_001740,20260727,162.0,4.381,0.589,1,3.728,
20260727_002024,20260727,158.3,5.11,0.807,1,3.728,
20260727_002309,20260727,152.0,4.821,1.22,0,3.728,
20260727_002553,20260727,145.0,3.425,0.937,0,3.728,
20260727_002853,20260727,135.3,-7.327,-7.696,0,1.85,
20260727_003137,20260727,125.7,5.159,1.779,0,3.728,
20260727_003422,20260727,119.3,4.763,2.201,0,3.728,
20260727_003706,20260727,116.3,5.113,2.693,0,3.728,
20260727_003951,20260727,113.0,5.227,3.799,0,3.728,
20260727_004236,20260727,104.0,5.031,3.36,0,3.728,
20260727_004529,20260727,95.0,5.328,3.744,0,3.728,
20260727_004814,20260727,81.3,5.424,5.044,0,3.728,
20260727_005058,20260727,63.0,7.25,5.381,0,3.728,
20260727_005343,20260727,47.3,6.221,5.444,0,3.728,
20260727_005628,20260727,32.7,7.337,6.108,0,3.728,
20260727_005913,20260727,20.0,7.888,6.664,0,3.728,
20260727_010054,20260727,14.0,7.29,7.259,0,3.728,
20260727_010622,20260727,1.0,11.222,11.222,0,3.728,
20260727_011224,20260727,0.0,18.086,18.086,0,3.728,
20260727_011748,20260727,0.0,nan,nan,0,3.728,
20260727_012318,20260727,0.0,nan,nan,0,3.728,
20260727_012842,20260727,0.0,nan,nan,0,3.728,
20260727_013405,20260727,0.0,nan,nan,0,3.728,
20260727_091833,20260727,0.0,nan,nan,0,3.728,
20260727_092356,20260727,0.0,nan,nan,0,3.728,
20260727_092922,20260727,0.0,nan,nan,0,3.728,
20260727_093445,20260727,0.0,nan,nan,0,3.728,
20260727_094013,20260727,0.0,nan,nan,0,3.728,
20260727_094539,20260727,0.0,17.231,17.231,0,3.728,
20260727_095102,20260727,3.0,9.76,9.76,0,3.728,
20260727_095517,20260727,14.7,9.985,6.888,0,3.728,
20260727_095801,20260727,23.3,7.995,7.071,0,3.728,
20260727_100046,20260727,38.0,6.978,6.192,0,3.728,
20260727_100331,20260727,52.3,6.603,5.937,0,3.728,
20260727_100616,20260727,68.7,5.975,5.035,0,3.728,
20260727_100900,20260727,83.0,5.822,4.496,0,3.728,
20260727_101145,20260727,97.0,4.295,3.423,0,3.728,
20260727_101429,20260727,103.0,4.818,3.54,0,3.728,
20260727_101714,20260727,107.3,3.868,3.065,0,3.728,
20260727_101959,20260727,109.7,4.466,3.221,0,3.728,
20260727_102256,20260727,112.7,4.573,4.032,0,3.728,
20260727_102540,20260727,115.3,4.587,1.673,0,3.728,
20260727_102825,20260727,118.0,4.476,2.421,0,3.728,
20260727_103109,20260727,121.7,4.997,2.197,0,3.728,
20260727_103353,20260727,128.0,4.655,1.405,0,3.728,
20260727_103638,20260727,133.0,4.33,1.158,0,3.728,
20260727_103922,20260727,138.0,4.513,1.258,0,3.728,
20260727_104207,20260727,144.0,4.989,1.264,0,3.728,
20260727_104451,20260727,148.0,4.274,1.424,0,3.537,
20260727_104736,20260727,151.0,4.169,1.123,0,3.601,
20260727_105020,20260727,152.0,4.825,1.193,0,3.72,
20260727_105304,20260727,152.0,4.168,0.69,1,3.452,
20260727_105549,20260727,154.0,4.225,0.643,1,3.494,
20260727_105833,20260727,154.7,3.838,0.692,1,3.563,
20260727_110117,20260727,155.3,4.09,0.483,1,3.504,
20260727_110401,20260727,156.0,3.777,0.57,1,3.628,
20260727_110646,20260727,156.3,4.443,0.15,1,3.458,
20260727_110930,20260727,157.0,3.234,0.296,1,3.039,
20260727_111214,20260727,158.0,4.312,0.233,1,3.726,
20260727_111459,20260727,157.0,3.886,0.531,1,3.54,
20260727_111743,20260727,158.7,4.45,0.693,1,3.728,
20260727_112027,20260727,158.3,4.762,0.471,1,3.631,
20260727_112311,20260727,158.0,4.437,0.101,1,3.677,
20260727_112608,20260727,158.3,4.452,0.778,1,3.196,
20260727_112853,20260727,158.0,3.873,0.646,2,2.893,
20260727_113137,20260727,158.0,4.001,0.778,2,3.039,
20260727_113421,20260727,158.0,3.288,0.514,2,3.039,
20260727_113705,20260727,157.0,4.256,0.293,1,3.577,
20260727_113949,20260727,156.0,4.085,0.89,1,3.529,
20260727_114137,20260727,157.0,4.533,0.494,1,3.585,
20260727_114704,20260727,158.0,3.87,0.559,1,3.478,
20260727_115233,20260727,158.3,3.737,0.43,2,3.476,
20260727_115803,20260727,159.3,3.831,0.478,2,3.212,
20260727_120343,20260727,160.3,4.288,0.734,1,3.6,
20260727_120957,20260727,160.0,4.165,0.278,1,3.41,
20260727_121640,20260727,162.0,4.276,0.861,1,3.364,
20260727_122210,20260727,160.3,3.799,0.991,1,3.365,
20260727_122758,20260727,159.7,3.425,0.669,1,3.202,
20260727_123344,20260727,157.0,3.994,0.591,1,3.728,
20260727_123929,20260727,158.3,2.611,1.109,1,3.121,
20260727_124515,20260727,161.0,4.787,1.115,1,3.728,
20260727_125046,20260727,159.0,5.406,1.665,1,3.728,
20260727_125613,20260727,158.0,5.462,1.499,0,3.728,
20260727_130142,20260727,153.3,6.31,1.28,0,3.728,
20260727_130709,20260727,151.0,4.363,1.38,0,3.728,
20260727_131236,20260727,152.3,4.956,0.807,0,3.728,
20260727_131804,20260727,158.0,3.796,1.702,1,3.589,
20260727_132330,20260727,157.7,4.275,1.167,0,3.728,
20260727_132856,20260727,158.3,3.706,1.39,0,3.704,
20260727_133425,20260727,158.7,2.758,1.084,0,3.088,
20260727_133952,20260727,162.7,4.846,1.513,0,3.728,
20260727_134522,20260727,165.7,4.116,0.685,1,3.688,
20260727_135049,20260727,165.7,3.967,1.247,0,3.698,
20260727_135616,20260727,168.0,5.605,1.636,1,3.728,
20260727_140142,20260727,163.3,4.402,1.464,0,3.615,
20260727_140713,20260727,150.0,2.541,0.83,0,3.547,
20260727_141243,20260727,142.3,4.698,1.183,0,3.728,
20260727_141811,20260727,163.3,3.89,1.116,0,3.619,
20260727_142340,20260727,160.3,5.634,1.306,0,3.72,
20260727_142951,20260727,157.0,4.526,1.342,0,3.728,
20260727_143522,20260727,149.0,5.598,1.14,0,3.728,
20260727_144053,20260727,159.0,5.35,2.063,0,3.728,
20260727_144623,20260727,157.3,6.606,1.801,0,3.728,
20260727_145152,20260727,164.0,2.46,0.775,0,3.115,
20260727_145723,20260727,151.0,4.762,1.319,0,3.728,
20260727_150252,20260727,155.0,3.582,1.006,0,3.622,
20260727_150822,20260727,149.7,23.339,18.294,0,3.728,
20260727_151352,20260727,158.7,7.091,1.823,0,3.728,
20260727_151921,20260727,154.3,12.136,7.363,0,3.728,
20260727_152448,20260727,149.7,-0.766,-1.375,0,2.402,
20260727_153018,20260727,153.3,-0.748,-1.464,0,1.553,
20260727_153547,20260727,145.3,15.494,9.851,0,3.728,
20260727_154116,20260727,135.0,4.792,1.931,0,3.728,
20260727_154647,20260727,146.3,-0.099,-1.164,0,1.894,
20260727_155217,20260727,147.7,0.144,-0.875,0,2.362,
20260727_155746,20260727,142.7,16.191,10.89,0,3.728,
20260727_160317,20260727,141.7,7.403,3.127,0,3.728,
20260727_160847,20260727,142.7,0.564,-1.126,0,2.958,
20260727_161414,20260727,153.7,9.976,4.163,0,3.728,
20260727_161944,20260727,144.0,24.973,20.024,0,3.728,
20260727_162510,20260727,156.0,-7.063,-7.061,0,1.502,
20260727_163044,20260727,141.3,4.418,1.468,0,3.728,
20260727_163639,20260727,156.0,1.768,0.078,0,3.29,
